"Frecuencias de apellidos",,,,,,,,,
"Apellidos por nacionalidad",,,,,,,,,
"País: Países Bajos",,,,,,,,,
,,,,"Apellido 1º",,"Apellido 2º",,"Ambos apellidos",
"Nº","Apellido",,,"Total","Por mil (\u2030)","Total","Por mil (\u2030)","Total","Por mil (\u2030)"
"1","DE JONG",,,"187","4,206","10","0,225","..",".."
"2","JANSEN",,,"181","4,071","9","0,202","..",".."
"3","DE VRIES",,,"155","3,486","5","0,112","..",".."
"4","VAN DEN BERG",,,"137","3,082","..","..","..",".."
"5","BAKKER",,,"136","3,059","8","0,180","..",".."
"6","VAN DIJK",,,"129","2,902","..","..","..",".."
"7","VISSER",,,"127","2,857","..","..","..",".."
"8","JANSSEN",,,"114","2,564","..","..","..",".."
"9","DE GROOT",,,"113","2,542","6","0,135","..",".."
"10","SMIT",,,"111","2,497","..","..","..",".."
"11","MEIJER",,,"105","2,362","..","..","..",".."
"12","VAN LEEUWEN",,,"103","2,317","..","..","..",".."
"13","DEKKER",,,"101","2,272","..","..","..",".."
"14","VAN",,,"85","1,912","..","..","..",".."
"15","DE WIT",,,"76","1,709","8","0,180","..",".."
"16","DE BOER",,,"73","1,642","..","..","..",".."
"17","BOS",,,"72","1,620","..","..","..",".."
"18","MULDER",,,"66","1,485","..","..","..",".."
"19","VOS",,,"65","1,462","..","..","..",".."
"20","HENDRIKS",,,"62","1,395","..","..","..",".."
"21","DE HAAN",,,"61","1,372","..","..","..",".."
"22","BROUWER",,,"60","1,350","9","0,202","..",".."
"23","VAN DER MEER",,,"60","1,350","..","..","..",".."
"24","JACOBS",,,"59","1,327","..","..","..",".."
"25","VAN BEEK",,,"55","1,237","..","..","..",".."
"26","KOSTER",,,"54","1,215","..","..","..",".."
"27","HUISMAN",,,"53","1,192","..","..","..",".."
"28","WILLEMS",,,"53","1,192","..","..","..",".."
"29","PETERS",,,"52","1,170","..","..","..",".."
"30","DE GRAAF",,,"51","1,147","..","..","..",".."
"31","VAN DER HEIJDEN",,,"51","1,147","..","..","..",".."
"32","BLOM",,,"49","1,102","..","..","..",".."
"33","DE BRUIJN",,,"48","1,080","..","..","..",".."
"34","SMITS",,,"48","1,080","..","..","..",".."
"35","VAN DER LINDEN",,,"47","1,057","..","..","..",".."
"36","VAN DEN HEUVEL",,,"45","1,012","..","..","..",".."
"37","VAN VLIET",,,"45","1,012","..","..","..",".."
